label,affirmation
Intox,building wall usmexico border take literally years
Intox,wisconsin pace double number layoffs year
Intox,says john mccain done nothing help vets
Info,suzanne bonamici supports plan cut choice medicare advantage seniors
Intox,asked reporter whether hes center criminal scheme violate campaign laws gov scott walker nodded yes
Intox,past five years federal government paid million retirement disability benefits deceased former federal employees
Intox,says tennessee law requires schools receive half proceeds million per year halfcent increase shelby county sales tax
Intox,says vice president joe biden admits american people scammed economic stimulus package
Intox,donald trump marriage equality wants go back
Intox,know half hillary clintons meetings secretary state given major contributors clinton foundation
Intox,know democrats georgia republicans know fact
Intox,politifact texas says congressman edwards attacks bill flores false
Intox,denali kenyan word black power
Intox,says percent federal spending goes military percent goes food agriculture including food stamps
Info,residency requirements public workers
Intox,says unemployment rate college graduates percent percent noncollegeeducated
Intox,unfortunately documented instances people defecated statehouse building
Info,recent gallup poll found percent americans percent democrats say biggest threat nations security big government
Intox,year people die america dont health care
Intox,ronald reagan faced even worse recession current one
Info,public safety issues cities allow transgender people use bathroom gender identify
Info,says mitt romney one first national republican leaders endorse marco rubio
Intox,number illegal immigrants could million could million
Info,marijuana less toxic alcohol
Intox,says charlie crist embroiled fraud case steering taxpayer money de facto ponzi scheme
Intox,time someone like scalia ginsburg got plus votes
Intox,gone red line syria
Info,tim kaine hiked tuition governor claims champion affordability
Intox,contends president obama literally said capandtrade proposals pass utility rates words would necessarily skyrocket
Info,active duty males military twice likely develop prostate cancer civilian counterparts
Intox,since senate different party president white house confirmed supreme court nominee
Intox,rosemary lehmberg travis county das office convened grand jury indicted rick perry
Info,team hes rooting world series
Info,tom ganley two fs better business bureau complaints three years
Intox,united states low voter turnout rate
Info,says thomas jefferson said might able fool people awhile may go astray sooner later american people going wake correct course
Intox,federal health care law health plans canceled florida
Info,massachusetts scott brown pushed law force women considering abortion force look color photographs developing fetuses
Intox,fed created trillion nothing gave banks foreign banks could stabilize operations
Intox,texas families kept billion family budgets since successfully fought restore texas sales tax deduction decade ago
Intox,preexisting conditions covered health care plan
Info,greg abbott activated state guard monitor jade helm case troops try impose martial law disarm innocent texans detain tunnels beneath closed walmart stores
Intox,says second debate hillary clinton landslide every poll
Intox,says bag litter increased san francisco banned singleuse shopping bags
Info,newt gingrich first advocated individual mandate health care recently may year still advocating
Intox,says result national health care reform congressional budget office says save million first years next years save trillion savings terms health care
Info,said would vote patriot act came senate voted
Info,federal minimum wage worth percent less ronald reagan gave first address joint session congress
Intox,proposed tax fund transportation projects would spend take single vehicle road morning afternoon commute
Intox,salesclerk hobby lobby needs contraception going get service employers health care plan employer doesnt think using contraception
Info,says charlie crist voted raising minimum wage
Intox,hillary clinton said gun confiscation would worth considering
Info,already prototype driverless car traveled miles crowded maze california streets without single accident
Info,last year population growth state texas came texas states
Intox,undocumented children picked border told appear later court percent show
Info,says gov chris christie cut spending billion provided million new education funding
Info,hes candidate whos balanced budgets brought jobs providence
Info,studies shown absence federal reproductive health funds going see level abortion georgia increase percent
Intox,acorn paid partner census bureau charge going doortodoor collecting data american public
Intox,sixty percent hispanics support arizona immigration law
Intox,sequester hits federal prosecutors let criminals go
Intox,says dick cheney debaathisized iraqi government created isis
Intox,says bill hillary clinton attended donald trumps last wedding
Intox,play role bringing company ri others government tasked handling legislation affecting company superiors
Info,obamacare insurance cooperative failures expected theyre like business start businesses america fifth year half businesses closed
Intox,tax cut deal giving billion millionaires billionaires
Info,says marco rubio said social security medicare haveweakened us people
Info,across country billion recovery act committed first days
Intox,secretary department energy former president bill clinton created reserves home heating oil
Intox,twentyfive states lower unemployment texas tied mississippi minimumwage jobs anywhere united states
Info,bills rep david cicilline sponsored three years office single one advanced past embryonic committee stage
Info,says donald trump said loves war including nukes
Intox,state tax law start house renewal state hospital bed tax year started senate unconstitutional
Info,every child born today inherits share national debt stands trillion
Intox,strong bipartisan majority house representatives voted defund obamacare
Info,proximity highvoltage power lines lowers property values much percent
Intox,facts say best scenario kids loving mom dad
Intox,says mark neumann nancy pelosi
Info,hear gov christie tell everything new jersey going fine well see another new jersey unemployed one worst jobless rates country working middle class families seen costs soar property taxes college tuition
Intox,says delegates cant legally change republican national convention rules prevent donald trumps nomination
Intox,rebuilding three high schools benefit percent portland public school students
Info,proposition novembers texas ballot cost state taxpayers money
Intox,providence lowest crime rate three decades
Intox,banning earmarks
Info,says hes taken pay decrease nine years office
Info,percent americans millionaires percent house reps millionaires percent senators millionaires
Intox,decision united states buy heavy water iran directly subsidize irans nuclear program
Info,texas department transportation misplaced billion dollars
Intox,judges order means theres constitution exemption zone live within miles united states border
Intox,pepper kicked jock tax imposing levy sports entertainment industry
Intox,mitch mcconnell opposed legislation create protect kentucky jobs help unemployed health care kentuckys children fair pay women
Intox,mayor tom barrett number milwaukee police officers increased
Intox,taxpayers subsidize percent marta trip
Intox,president obama sen harry reid rep nancy pelosi passed trillion stimulus bill
Intox,says milken institute rated san antonio nations topperforming local economy
Intox,says people africa literally walk two three hundred miles order vote
Intox,world war ii people actually health insurance
Intox,half children struck cars near schools hit parents driving children school
Intox,citizens property insurance billion worth risk less billion worth surplus
Intox,tom leppert pledged make dallas sanctuary city illegal immigrants
Intox,putting three republicans cabinetis unprecedented
Intox,atlanta police chief george turner interim head department overall crime fell percent violent crime dropped percent
Info,top percent saw income go roughly percent median wage country years went percent
Intox,proud governor florida signed first divestment act relates iran divesting investments companies would invest iran
Intox,result climate change ice fishermen wisconsin already noticing fewer days ice covered lakes
